"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"21/06/2026","26,315.0","26,319.5","26,366.0","26,272.5","","-0.02%"
"14/06/2026","26,320.0","26,312.5","26,367.5","26,254.5","","0.04%"
"07/06/2026","26,310.0","26,347.0","26,378.0","26,278.5","","-0.08%"
"31/05/2026","26,330.0","26,314.5","26,382.0","26,276.5","","0.07%"
"24/05/2026","26,312.5","26,362.0","26,378.5","26,272.5","","-0.20%"
"17/05/2026","26,365.0","26,354.5","26,382.5","26,315.0","","0.04%"
"10/05/2026","26,355.0","26,320.0","26,378.5","26,295.0","","0.18%"
"03/05/2026","26,308.0","26,356.0","26,361.5","26,266.0","","-0.18%"
"26/04/2026","26,356.0","26,359.0","26,361.5","26,325.5","","-0.01%"
"19/04/2026","26,359.0","26,335.0","26,359.0","26,297.0","","0.09%"
"12/04/2026","26,335.0","26,335.5","26,352.5","26,302.5","","0.00%"
"05/04/2026","26,336.0","26,345.5","26,354.0","26,303.5","","-0.02%"
"29/03/2026","26,340.0","26,339.0","26,372.0","26,289.0","","0.01%"
"22/03/2026","26,337.5","26,316.0","26,363.5","26,302.0","","0.10%"
"15/03/2026","26,312.0","26,291.0","26,329.5","26,239.0","","0.07%"
"08/03/2026","26,294.0","26,274.5","26,308.5","26,182.5","","0.21%"
"01/03/2026","26,240.0","26,041.5","26,269.5","26,041.5","","0.75%"
"22/02/2026","26,045.0","25,970.0","26,224.5","25,948.5","","0.29%"
"15/02/2026","25,970.0","25,970.0","25,970.0","25,970.0","","0.00%"
"08/02/2026","25,970.0","25,958.5","26,049.0","25,844.5","","0.08%"
"01/02/2026","25,950.0","25,923.5","26,057.5","25,889.5","","0.04%"
"25/01/2026","25,940.0","26,234.5","26,256.0","25,884.0","","-1.16%"
"18/01/2026","26,245.0","26,274.5","26,298.5","26,220.0","","-0.11%"
"11/01/2026","26,275.0","26,269.0","26,317.5","26,242.5","","0.02%"
"04/01/2026","26,270.0","26,290.0","26,317.5","26,245.0","","-0.11%"
"28/12/2025","26,300.0","26,289.5","26,327.0","26,239.0","","0.03%"
"21/12/2025","26,291.0","26,316.0","26,365.0","26,255.0","","-0.08%"
"14/12/2025","26,312.5","26,270.0","26,369.0","26,269.0","","0.02%"
"07/12/2025","26,306.0","26,359.5","26,387.5","26,270.0","","-0.20%"
"30/11/2025","26,360.0","26,359.5","26,397.0","26,320.0","","-0.02%"
"23/11/2025","26,365.0","26,360.0","26,396.0","26,311.5","","0.05%"
"16/11/2025","26,353.0","26,350.0","26,388.5","26,305.0","","0.01%"
"09/11/2025","26,350.0","26,314.5","26,373.5","26,282.0","","0.15%"
"02/11/2025","26,310.0","26,306.0","26,345.0","26,275.0","","-0.02%"
"26/10/2025","26,315.0","26,302.0","26,345.0","26,276.5","","0.04%"
"19/10/2025","26,305.0","26,340.0","26,360.0","26,287.5","","-0.14%"
"12/10/2025","26,342.0","26,334.5","26,364.0","26,305.0","","0.01%"
"05/10/2025","26,340.0","26,372.5","26,428.5","26,325.0","","-0.16%"
"28/09/2025","26,381.0","26,410.0","26,434.0","26,351.0","","-0.11%"
"21/09/2025","26,410.0","26,385.5","26,436.0","26,360.0","","0.10%"
"14/09/2025","26,382.5","26,387.0","26,405.0","26,346.0","","-0.01%"
"07/09/2025","26,385.0","26,374.5","26,431.5","26,355.5","","-0.06%"
"31/08/2025","26,400.0","26,345.0","26,415.0","26,295.5","","0.21%"
"24/08/2025","26,345.0","26,300.0","26,405.5","26,288.0","","-0.02%"
"17/08/2025","26,350.0","26,272.0","26,457.0","26,245.0","","0.30%"
"10/08/2025","26,270.0","26,228.0","26,336.0","26,200.0","","0.17%"
"03/08/2025","26,225.0","26,207.5","26,282.5","26,147.5","","0.02%"
"27/07/2025","26,220.0","26,145.0","26,271.5","26,127.5","","0.29%"
"20/07/2025","26,145.0","26,155.0","26,170.0","26,112.5","","-0.06%"
"13/07/2025","26,160.0","26,110.0","26,183.0","26,085.0","","0.17%"
"06/07/2025","26,114.5","26,202.5","26,205.0","26,065.0","","-0.25%"
"29/06/2025","26,180.0","26,082.5","26,264.5","26,055.0","","0.33%"
"22/06/2025","26,095.0","26,135.0","26,222.5","26,061.5","","-0.13%"
"15/06/2025","26,128.5","26,070.0","26,152.5","26,041.5","","0.21%"
"08/06/2025","26,075.0","26,094.0","26,105.5","26,000.0","","0.08%"
"01/06/2025","26,054.0","26,025.0","26,126.5","25,980.0","","0.12%"
"25/05/2025","26,021.5","25,961.0","26,074.5","25,886.0","","0.26%"
"18/05/2025","25,954.0","25,920.0","25,989.5","25,907.5","","0.13%"
"11/05/2025","25,921.5","25,970.0","25,992.0","25,903.0","","-0.22%"
"04/05/2025","25,978.5","26,000.0","26,019.5","25,912.5","","-0.10%"
"27/04/2025","26,005.0","26,025.0","26,050.0","25,927.5","","-0.06%"
"20/04/2025","26,021.5","25,950.0","26,070.5","25,858.5","","0.28%"
"13/04/2025","25,950.0","25,735.0","25,976.5","25,705.0","","0.75%"
"06/04/2025","25,757.5","25,800.0","26,130.0","25,660.5","","-0.09%"
"30/03/2025","25,780.0","25,538.5","25,837.0","25,536.5","","0.90%"
"23/03/2025","25,550.0","25,538.0","25,664.0","25,538.0","","-0.14%"
"16/03/2025","25,585.0","25,520.0","25,605.0","25,475.0","","0.33%"
"09/03/2025","25,500.0","25,515.0","25,568.5","25,450.0","","0.08%"
"02/03/2025","25,480.0","25,554.0","25,617.5","25,430.0","","-0.20%"
"23/02/2025","25,530.0","25,485.0","25,573.0","25,466.0","","0.08%"
"16/02/2025","25,510.0","25,390.0","25,580.0","25,390.0","","0.55%"
"09/02/2025","25,370.0","25,375.0","25,607.0","25,367.5","","0.32%"
"02/02/2025","25,290.0","25,025.0","25,355.0","25,025.0","","0.92%"
"26/01/2025","25,060.0","25,080.0","25,080.0","25,080.0","","0.00%"
"19/01/2025","25,060.0","25,330.0","25,380.5","25,005.0","","-1.01%"
"12/01/2025","25,315.0","25,375.0","25,433.5","25,318.5","","-0.18%"
"05/01/2025","25,360.0","25,390.0","25,455.0","25,362.5","","-0.16%"
"29/12/2024","25,400.0","25,446.5","25,512.5","25,422.5","","-0.18%"
"22/12/2024","25,445.0","25,440.0","25,465.0","25,415.0","","0.00%"
"15/12/2024","25,445.0","25,390.0","25,469.0","25,346.5","","0.18%"
"08/12/2024","25,400.0","25,373.5","25,410.0","25,346.5","","0.10%"
"01/12/2024","25,375.0","25,367.5","25,415.0","25,340.0","","0.12%"
"24/11/2024","25,344.0","25,415.0","25,427.5","25,327.5","","-0.29%"
"17/11/2024","25,417.0","25,385.0","25,435.0","25,342.5","","0.15%"
"10/11/2024","25,380.0","25,285.0","25,405.0","25,255.0","","0.48%"
"03/11/2024","25,260.0","25,280.0","25,420.0","25,267.5","","-0.08%"
"27/10/2024","25,280.0","25,400.0","25,435.0","25,260.0","","-0.30%"
"20/10/2024","25,355.0","25,165.0","25,455.0","25,165.0","","0.82%"
"13/10/2024","25,150.0","24,817.0","25,275.0","24,805.0","","1.39%"
"06/10/2024","24,805.0","24,855.0","24,870.0","24,805.0","","0.20%"
"29/09/2024","24,755.0","24,580.0","24,772.5","24,545.0","","0.67%"
"22/09/2024","24,590.0","24,620.0","24,660.0","24,533.0","","0.00%"
"15/09/2024","24,590.0","24,545.0","24,687.5","24,528.0","","0.24%"
"08/09/2024","24,530.0","24,635.0","24,705.0","24,520.0","","-0.28%"
"01/09/2024","24,600.0","24,885.0","24,897.5","24,590.0","","-1.05%"
"25/08/2024","24,860.0","24,890.0","24,948.0","24,810.0","","-0.42%"
"18/08/2024","24,965.0","25,069.0","25,069.0","24,902.5","","-0.34%"
